exam_no,exam_label,question_no,has_answer,invalid,flags,question_head
19,第19回,32,False,False,,"M研修医のHBs抗体検査を至急実施したところ、抗体価は4mIU/mLでした。
M研修医に対して行う必要があるB型肝炎感染予防策で正しいのはどれか。"
19,第19回,33,False,False,,針刺しが発生してから3時間が経過した時点で、患者N氏のHIV抗体検査が陽性であることが判明しました。M研修医に対して行う必要があるHIV感染予防策で正しいのはど
19,第19回,34,False,False,,L病院の職員に対して行うことが推奨される血液媒介病原体感染症予防策はどれか。
19,第19回,35,False,False,,結核に関する検査の説明で正しいのはどれか。
19,第19回,36,False,False,,10月7日に行う必要がある患者P氏とS氏への対応で正しいのはどれか。
19,第19回,37,False,False,表・図・計算確認,患者P氏と濃厚接触した23人の医療従事者への対応で正しいのはどれか 結核を発病するリスクがあるため、2ヶ月間就業禁止とする。 直ちに抗結核予防薬の予防内服をする
19,第19回,38,False,False,表・図・計算確認,"表2のデーターから得られる2009年度のCLABSIの発生頻度に関する説明で正しい組み合わせはどれか。
a. CLABSI発生密度率は、6.0（対1,000中心"
19,第19回,39,False,False,表・図・計算確認,2009年度と2010年度のCLABSI発生密度率を比較した結果から導き出される、2010年度のCLABSI発生密度率はどれか。
19,第19回,40,False,False,抽出崩れ候補 / 選択肢に長文混入 / 文字化け候補 / 表・図・計算確認,"2009年度と2010年度のCLABSI発生密度率を比較したカイ二乗検定の結果に関する記載で正しい組み合わせはどれか。
有意水準を0.05としたとき、2009年"
20,第20回,1,False,False,,飛沫予防策に関する説明で、正しいのはどれか。
20,第20回,2,False,False,,"エンベロープを有するウイルスの組み合わせはどれか。
a．ロタウイルス
b．アデノウイルス
c ．B型肝炎ウイルス
d．インフルエンザウイルス"
20,第20回,3,False,False,,滅菌に関する説明で、誤っているのはどれか。
20,第20回,4,False,False,,"免疫に関する説明で、正しい組み合わせはどれか。
a. ウイルス感染後は、まずIgMが上昇して短時間で消失し、やや遅れてIgGが上昇して長時間にわたり高い抗体価を"
20,第20回,5,False,False,,"生体に使用する消毒薬に関する説明で、正しい組み合わせはどれか。
a. 粘膜の消毒にベンザルコニウム塩化物を使用する場合の適切な濃度は、0.01～0.025％であ"
20,第20回,6,False,False,,針刺し後の感染予防策に関する説明で、正しいのはどれか。
20,第20回,7,False,False,表・図・計算確認,"薬剤耐性菌に関する説明で、正しい組み合わせはどれか。
a. 市中獲得型MRSAは、NDM－1と呼ばれる毒素を産生し、皮膚・軟部組織感染症を引き起こすことが知られ"
20,第20回,8,False,False,,2008年に公開された「消化器内視鏡の洗浄・消毒マルチソサイエティガイドライン（消化器内視鏡の洗浄・消毒マルチソサイエティガイドライン作成委員会）」に記載されて
20,第20回,9,False,False,,"検体の採取および取り扱いに関する説明で、正しい組み合わせはどれか。
a.　　Campylobacter属の検出を目的とした検体を保存する場合は、冷蔵庫ではなく室"
20,第20回,10,False,False,,手術部位感染予防に有効性を認める対策はどれか。
20,第20回,11,False,False,,"感染症と特徴的な症状の組み合わせで、正しいのはどれか。
a.　腸管出血性大腸菌感染症・・・・・・・・・・・血便
b.　ノロウィルス感染症・・・・・・・・・・・・"
20,第20回,12,False,False,,"医療器具関連感染予防策に関する説明で、正しい組み合わせはどれか。
a.　2003年に公開された「医療ケア関連肺炎予防のためのCDCガイドライン」
によると、人工"
20,第20回,13,False,False,,感染症に関する説明で、誤っているのはどれか。
20,第20回,14,False,False,,"ワクチンに関する説明で、正しい組み合わせはどれか。
HibワクチンのHibとは、インフルエンザ菌b型の略称である。
不活化ポリオワクチンを接種した小児の便中には"
20,第20回,15,False,False,抽出崩れ候補 / 表・図・計算確認,統計学に関する説明で、正しい組み合わせはどれか。 中心ライン関連血流感染(CLABSI)を発症した患者100人について調査したところ、中心ライン挿入からCLAB
20,第20回,16,False,False,抽出崩れ候補,学校保健安全法および感染症法に関する説明で、正しいのはどれか 学校保健安全法では、インフルエンザは解熱した後5日を経過するまで出席停止とすることが定められている
20,第20回,17,False,False,,結核予防策に関する説明で、正しいのはどれか。
20,第20回,18,False,False,,2008年に公開された「透析医療における標準的な透析操作と院内感染予防に関するマニュアル（三訂版）」に記載されている内容で、正しい組み合わせはどれか。 透析室の
20,第20回,19,False,False,,2010年に公開された「感染症法に基づく結核の接触者健康診断の手引き（改訂第4版）」に基づく内容で、正しいのはどれか。
20,第20回,20,False,False,,ファシリティマネジメントに関する説明で、正しい組み合わせはどれか。 2008年に改訂された「大量調理施設衛生管理マニュアル」は、施設の運営管理責任者は、調理従事
20,第20回,21,False,False,,あなたは、従業員の行動観察を行うICTメンバーに対し、適切な手指衛生について説明することになりました。ICTメンバーに対する説明内容で、正しいのはどれか。
20,第20回,22,False,False,,A病院の手指衛生実施率は40％程度であることがわかりました。そこで、手指衛生の実施率を改善するための取り組みを行うことになりました。手指衛生を促進する取り組みで
20,第20回,23,False,False,,担当医師が看護師Dへの対応についてあなたに尋ねました。担当医師への回答で、正しいのはどれか。
20,第20回,24,False,False,抽出崩れ候補 / 文字化け候補,"看護師Dと接触した者への対応で、正しい組み合わせはどれか。
ࠀ ࡄ ࡈ ࡼ ࢀ ࢬ ࢮ ࣖ ࣘ ै ॊ ন ম ৞ ਘ ਜ ਬ ਮ ੀ ੂ ੘ ਗ਼ ੴ ੸ સ "
20,第20回,25,False,False,,B病院では、今回の事例を契機に、職員の流行性ウイルス感染症（麻疹、水痘、風疹、流行性耳下腺炎：以下MMRV）に対する免疫を確認することになりました。MMRVの免
20,第20回,26,False,False,,新たなレジオネラ肺炎の発生を防ぐための対策で、誤っているのはどれか。
20,第20回,27,False,False,表・図・計算確認,この事例を契機に、造血幹細胞移植病棟の感染予防策を見直すことになりました。造血幹細胞移植病棟で実施する感染予防策で、正しい組み合わせはどれか。 毎月1回、シャワ
20,第20回,28,False,False,,第20回 問28：画像PDFまたは抽出困難な箇所のため、問題文は未抽出です。管理画面から登録してください。
20,第20回,29,False,False,表・図・計算確認,サーベイランスに関する説明で、正しいのはどれか。
20,第20回,30,False,False,表・図・計算確認,"F病院ICUにおけるCLABSIサーベイランスの結果は表1に示す通りです。表1のA~Dに入る数字について、正しい組み合わせはどれか。
表1　F病院ICU　CLA"
20,第20回,31,False,False,表・図・計算確認,MBP導入前後におけるCLABSI発生密度率について、フィッシャー正確確率検定法を用いて統計学的有意差の有無を確認したところ、P=0.35でした。有意水準を0.
20,第20回,32,False,False,表・図・計算確認,"MRSAサーベイランスの方法に関する説明で、正しい組み合わせはどれか。
a．部署別の新規MRSA陽性患者数を比較することにより、感染予防策を評価する。
b．分母"
20,第20回,33,False,False,表・図・計算確認,MRSAサーベイランスを実施中に、外科系のⅠ病棟において新規MRSA 陽性患者の増加を認めたため、介入することになりました。新規MRSA陽性患者は3名で、このう
20,第20回,34,False,False,,Ⅰ病棟に入院中の患者に関するアセスメントで、正しいのはどれか。 Ⅰ病棟に入院中の患者はMRSAを獲得する可能性が高いことから、全員にムシロピンを投与するのが望ま
20,第20回,35,False,False,,"ノロウイルスに関する説明で、正しい組み合わせはどれか。
ノロウイルスは、60 ℃１分の熱水消毒で不活化する。
ノロウイルスはエンベロープを持たないRNAウイルス"
20,第20回,36,False,False,,これから行う必要がある対策で、正しいのはどれか。
20,第20回,37,False,False,,"介護老人保健施設の職員に指導する内容で、正しい組み合わせはどれか。
嘔吐物を処理する際には、手袋、エプロン、外科用マスクを着用する。
発症者のケアに使用した手袋"
20,第20回,38,False,False,,"N氏が現在留置している医療器具の管理方法について、ICUの看護管理者に指導する内容として正しい組み合わせはどれか。
ａ．血液透析カテーテルを1週間以上交換してい"
20,第20回,39,False,False,表・図・計算確認,"あなたは、各種一般細菌検査の検体採取方法と検査室に提出するまでの検体の保
管について、ICUの看護師に指導することになりました。指導内容で、正しい組み合わせはど"
20,第20回,40,False,False,抽出崩れ候補 / 選択肢に長文混入 / 文字化け候補 / 表・図・計算確認,"一般細菌検査の結果をもとにICU看護管理者に説明する内容で、正しい組み合わせはどれか。
ａ．ESBL産生大腸菌による尿路感染症と二次的な血流感染を起こしている可"
21,第21回,1,False,False,,消毒薬に関する説明で、正しい組み合わせはどれか。 第二期梅毒の患者が使用したノンクリティカル器具は、高水準消毒薬を用いて消毒する必要がある。
21,第21回,2,False,False,,微生物検査に関する説明で、正しい組み合わせはどれか。 レジオネラ症の迅速検査は、血清中のレジオネラ抗原を検出する。
21,第21回,3,False,False,,ワクチン接種に関する説明で、正しいのはどれか。
21,第21回,4,False,False,,"感染症の関係法規に関する説明で、正しい組み合わせはどれか。
a. 学校保健法において、インフルエンザの出席停止期間は、発症した後5日を経過し、かつ、解熱した後2"
21,第21回,5,False,False,表・図・計算確認,小児および新生児における感染症に関する説明で、正しいのはどれか。
21,第21回,6,False,False,,"A社製のノロウイルス迅速検査キット「ノロワカル」の感度は80%、特異度は98%である。この製品を使用した場合の説明で、正しい組み合わせはどれか。
a. ノロウィ"
21,第21回,7,False,False,表・図・計算確認,手術中の低体温予防を実施した群は（以下、介入群）と実施しなかった群（以下、非介入群）における手術部位感染（以下、SSI）の相対リスクは0.75であった。また、2
21,第21回,8,False,False,抽出崩れ候補,飛沫予防策の対象となる感染症の正しい組み合わせはどれか。 a. MRSA肺炎 b. RSウイルス感染症 c. マイコプラズマ肺炎 d. 小児および新生児における
21,第21回,9,False,False,,血液透析室における感染予防策で、正しいのはどれか。
21,第21回,10,False,False,,"2003年公開の「医療ケア関連肺炎防止のためのCDCガイドライン」において、カテゴリーⅠAで推奨されている勧告の組み合わせはどれか。
人工呼吸器回路は定期的に交"
21,第21回,11,False,False,表・図・計算確認,"微生物に関する説明で、正しい組み合わせはどれか。
アシネドバクター属じゃ、グラム染色によって、桿状と球状の間の球桿状のグラム陰性菌として観察される。
A型インフ"
21,第21回,12,False,False,表・図・計算確認,米国NHSN（National　Healthcare　Safety　Network)の手術部位感染（以下、SSI）サーベイランスの方法に関する説明で、正しいのは
21,第21回,13,False,False,,"感染症に関する説明で、正しい組み合わせはどれか。
マイコプラズマ肺炎を引き起こすMycoplasma pneumoniae は細胞壁を持つため、セフェム系抗菌薬"
21,第21回,14,False,False,表・図・計算確認,薬剤耐性菌に関する説明で、誤っているのはどれか。
21,第21回,15,False,False,,造血幹細胞移植患者の感染予防策で、正しいのはどれか。
21,第21回,16,False,False,,HIV感染症に関する説明で、正しい組み合わせはどれか。 HIV感染症は、感染後2時間以内に出現するHIV特異抗体を検出することで診断する。
21,第21回,17,False,False,,"免疫に関する説明で、正しい組み合わせはどれか。
IgMは、ヒトの胎盤を通過する唯一の免疫グロブリンである。
B細胞は、骨髄で形成され、抗原と結合したのち形質細胞"
21,第21回,18,False,False,,消毒と滅菌に関する説明で、正しいのはどれか。
21,第21回,19,False,False,,"ファシリティマネジメントに関する説明で、正しい組み合わせはどれか。
「大量調理施設衛生管理マニュアル」において、下痢又は嘔吐等の症状がある調理従事者等については"
21,第21回,20,False,False,表・図・計算確認,平成24年度改定の診療報酬に関する説明で、誤っているのはどれか。 感染防止対策加算１の施設基準では、5年以上感染管理に従事した経験を有し、感染管理に係る適切な研
21,第21回,21,False,False,,看護師BのHBs抗体価を測定したところ、100mIU/mlでした。看護師Bに対して行う必要があるB型肝炎感染予防策で、正しいのはどれか。
21,第21回,22,False,True,,不適切問題のため削除
21,第21回,23,False,False,選択肢に長文混入 / 表・図・計算確認,"針刺しによる感染リスクに関する説明で、正しい組み合わせはどれか。
a．曝露源がHBe抗原陽性であれば、B型肝炎に感染する可能性が高まる。
b．HIV陽性血液によ"
21,第21回,24,False,False,抽出崩れ候補 / 選択肢に長文混入 / 文字化け候補,一般細菌検査結果に基づいてリンクナースに説明する内容で、正しいのはどれか。
21,第21回,25,False,False,,患者G氏の血液からMRSAが検出されたことを受けて、ICUにおける血管内留置カテーテル関連血流感染予防策を見直すこととなりました。リンクナースに指導する内容で、
21,第21回,26,False,False,,"リンクナースと検討した結果、ICUにおいて手指衛生を促進する取り組みが必要であると判断しました。手指衛生に関する説明で、正しい組み合わせはどれか。
a．同一患者"
21,第21回,27,False,False,,"結核に関する説明で、正しい組み合わせはどれか。
a. 患者L氏の喀痰塗抹検査の結果が抗酸菌(１＋)である事から、喀痰から結核菌が検出されたと判断できる。
b.粟"
21,第21回,28,False,False,,4月15日、患者L氏は直ちに空気感染隔離室(AIIR : airborne infection isolation room)に転室することになりました。あなた
21,第21回,29,False,False,,"K病棟の職員が今後実施する必要がある感染予防策の正しい組み合わせはどれか。
a. 患者L氏の病室に入る担当看護師は、入口のドアを開ける前にN95微粒子マスクを着"
21,第21回,30,False,False,表・図・計算確認,4月17日、患者L氏のPCR検査結果が結核菌陽性と判明したため、「感染症法に基づく結核の接触者健康診断の手引き(改訂第4版)」に従い、接触者への対応を実施するこ
21,第21回,31,False,False,表・図・計算確認,"サーベイランスに関する説明で、正しい組み合わせはどれか
NHSNレポートに掲載されているCAUTIの発生密度率の50パーセンタイル値とは、NHSN にCAUTI"
21,第21回,32,False,False,表・図・計算確認,"サーベイランスデータの解析による説明で、正しい組み合わせはどれか。
尿道留置カテーテル使用比を低下させることは、患者集団における尿路感染のリスクを低減することに"
21,第21回,33,False,False,表・図・計算確認,2013年度に再びCAUTI予防策を見直すことになりました。CAUTI予防策に 関する説明で、誤っているのはどれか。 カテーテル挿入前、および挿入中にカテーテル
21,第21回,34,False,False,,患者N氏と患者P氏の喀痰培養結果を受けて、あなたが内科病棟のリンクナースに指導する内容で、正しいのはどれか。
21,第21回,35,False,False,表・図・計算確認,多剤耐性緑膿菌に関する説明で、正しい組み合わせはどれか。
21,第21回,36,False,False,,患者P氏には、気管切開から定期的に開放式吸引を実施しています。あなたは内科病棟のリンクナースから、吸引の際の感染予防策について相談を受けました。リンクナースへの
21,第21回,37,False,False,,C. difficileの検査に関する説明で、正しいのはどれか。
21,第21回,38,False,False,,"C. difficile感染症の治療に関する説明で、正しい組み合わせはどれか。
a.メトロニダゾールとバンコマイシンに感受性があるが、バンコマイシンが第一選択で"
21,第21回,39,False,False,,これから行うC. difficile感染症対策で、正しいのはどれか。
21,第21回,40,False,False,抽出崩れ候補 / 選択肢に長文混入 / 文字化け候補 / 表・図・計算確認,"アウトブレイクを制御する方法として、正しい組み合わせはどれか。
a.循環器病棟で下痢症状を有するすべての患者にC. difficile毒素検査を実施する。
b."
23,第23回,1,True,False,,飛沫予防策に関する説明で正しいのはどれか。
23,第23回,2,True,False,,"感染管理の関係法規に関する説明で正しい組み合わせはどれか。 
 
a. 予防接種法において、高齢者への肺炎球菌ワクチンは定期接種に分類されている。 
 
b. "
23,第23回,3,True,False,,感染症に関する説明で正しいのはどれか。
23,第23回,4,True,False,,手術部位感染予防に有効性が認められている対策で正しい組み合わせはどれか。 a. 手術室の空気圧は陰圧に維持する。
23,第23回,5,True,False,,細菌培養検査の検体採取で正しいのはどれか。
23,第23回,6,True,False,,微生物に関する説明で正しい組み合わせはどれか。 a. Campy1obaotarjejuni に感染後、1～3 過間でギラン・バレ一症候群を発症することがあ る
23,第23回,7,True,False,,"母乳に関する説明で正しい組み合わせはどれか。 
 
a. 解凍した冷凍母乳は冷蔵保存し、48 時間以内に使用する。 
 
b. 母乳中に含まれる分泌型IgE は"
23,第23回,8,True,False,表・図・計算確認,消毒薬に関する説明で正しい組み合わせはどれか。 a. ポビドンヨードは、頻回もしくは広範囲に使用すると、甲状腺代謝異常を示すことがあ る。
23,第23回,9,True,False,表・図・計算確認,疫学的指標に関する説明で正しいのはどれか。
23,第23回,10,True,False,,ファシリティ・マネジメントに関する説明で正しい組み合わせはどれか。 a. 環境省「廃棄物処理法に基づく感染性廃棄物処理マニュアル」によると、バイオハザー ドマー
23,第23回,11,True,False,表・図・計算確認,検査や疾患定義の妥当性に関する説明で正しい組み合わせはどれか。 a. インフルエンザ様症状のある患者に、 特異度 100%のインフルエンザ迅速検査を実施して 「
23,第23回,12,True,False,,内視鏡の管理に関する説明で正しいのはどれか。
23,第23回,13,True,False,,"耐性菌に関する説明で正しい組み合わせはどれか。 
a. 感染症法において、メロペネム耐性の腸内細菌科細菌による感染症は、届け出が必要で
ある。 
 
b. ES"
23,第23回,14,True,False,,ワクチンに関する説明で正しいのはどれか。
23,第23回,15,True,False,,"感染症に関する説明で正しい組み合わせはどれか。 
 
a. デングウイルスに一度感染すると、終生免疫を獲得するため、再感染はしない。 
 
b. MERS(中東"
23,第23回,16,True,False,,"減菌に関する説明で正しい組み合わせはどれか。 
 
a. ボウィー・ディックテストは、高圧蒸気減菌器内の空気除去が確実に行われ、かつ適正
な滅菌用蒸気が供給され"
23,第23回,17,True,False,表・図・計算確認,"近年発表されたランダム化比較研究やシステマティックレビュ一等のエビデンスが高い研究
において、効果が認められている医療関連感染予防策はどれか。"
23,第23回,18,True,False,表・図・計算確認,"免疫に関する説明で正しい組み合わせはどれか。 
 
a. HBs 抗体陽性、HBs 抗原陰性、HBc 抗体陽性患者が免疫不全に陥った場合、B 型肝炎ウイ
ルスが"
23,第23回,19,True,False,,"血液透析室おける感染予防策で正しい組み合わせはどれか。 
 
a. 透析装置外装に目視可能な血液が付着している場合、500ppm 次亜塩素酸ナトリウム溶液
を用"
23,第23回,20,True,False,選択肢に長文混入,"HIV 感染症で正しい組み合わせはどれか。 
 
a. HIV 感染症のスクリーニング検査のウインドウピリオドは、約1 週間である。 
 
b. HIV 感染症"
23,第23回,21,True,False,,MDR-Ab に関する説明で正しいのはどれか。
23,第23回,22,True,False,表・図・計算確認,"B 氏に対して実施する接触予防策で正しい組み合わせはどれか。 
 
a. B 氏の皮膚やB 氏に近い環境表面は、手袋を着用した手で触れる。 
 
b. 血圧計や"
23,第23回,23,True,False,,"あなたは20l5 年4 月 22 日時点でICU に入院中の患者に保菌調査を行いました。その結
果、人工呼吸器を装着中の患者C 氏の喀痰からMDR-Ab が検出"
23,第23回,24,True,False,,"E 看護師のHBs 抗体検査を実施したところ、 HBs 抗体価は5mIU/mL でした。E 看護師に対
して行う必要があるB 型肝炎の予防策で正しいのはどれか。"
23,第23回,25,True,False,,"E 看護師のHCV 抗体検査を実施したところ、HCV 抗体は陰性でした。E 看護師への対応で正
しいのはどれか。"
23,第23回,26,True,False,選択肢に長文混入 / 表・図・計算確認,F 氏から出生する児に対して行うB 型肝炎感染予防策に関する説明で正しいのはどれか。
23,第23回,27,True,False,表・図・計算確認,CLABSI サーべイランスから得られるデータの精度を高める方法で正しいのはどれか。
23,第23回,28,True,False,表・図・計算確認,"表 1 のデータから、2013 年度における1,000 中心ライン使用日数あたりのCLABSI 発生件
数で正しいのはどれか。"
23,第23回,29,True,False,表・図・計算確認,"表 1 および表2 のデータから得られる情報で正しいのはどれか。 
 
a. G 病院の ICU における2014 年度のCLABSI 発生密度率は、前年度から"
23,第23回,30,True,False,,"あなたはJ 病棟の看護師にK 氏の中心静脈カテーテルの管理について指導を行うことにし
ました。指導内容で正しい組み合わせはどれか。 
a. 皮膚消毒には、0.5"
23,第23回,31,True,False,選択肢に長文混入,"あなたはJ 病練の看護師にL 氏の尿道カテーテル管理について指導を行うことにしまし
た。指導内容で正しい組み合わせはどれか。 
 
a. 尿道カテーテルを抜去し"
23,第23回,32,True,False,,"RS ウイルスに関する説明で正しい組み合わせはどれか。 
 
a. RS ウイルス感染症は、例年夏期に流行する呼吸器感染症である。 
 
b. RS ウイルス感"
23,第23回,33,True,False,表・図・計算確認,ＲＳウイルス感染症の感染対策で誤っているのはどれか。
23,第23回,34,True,False,,"RS ウイルス感染症発生後に小児科病棟において実施する必要がある対応で、正しい組み合
わせはどれか。 
 
a. 感染者と非感染者の受け持ち看護師を分ける。 
"
23,第23回,35,True,False,,"結核の検査に関する説明で正しい組み合わせはどれか。 
 
a. V 氏の喀痰塗抹検査結果が「抗酸菌が腸性(1+)」とは、喀痰中に結核菌を認めたことを意
味する。"
23,第23回,36,True,False,,Ｕ病院で行う感染予防策で正しいのはどれか。
23,第23回,37,True,False,,"4 月 12 日にPCR 法の結果が結核菌陽性であると判明した。「感染症法に基づく結核の接触
者健康診断の手引き(改訂第 5 版)に従い、V 氏の接触者に対し検"
23,第23回,38,True,False,,"水痘に関する記述で正しい組み合わせはどれか。 
 
a. 水痘の潜伏期間はおよそ5 日間である。 
 
b. 水痘・帯状疱疹ウイルスはヘルペスウイルス科の α "
23,第23回,39,True,False,,"外来で診察した内科医は1 カ月前に赴任してきたばかりで、水痘の罹患歴やワクチン接種
歴がないことがわかりました。この内科医への対応で正しいのはどれか。"
23,第23回,40,True,False,,X 氏が入院するにあたり、実施する必要がある感染予防策で正しいのはどれか。
25,第25回,1,True,False,,次の問1から問20に対する適切な答えをーつ選んでください。 20Ⅱ年公開の「血管内カテーテル関連血流感染予防のためのΦCガイドライン」において推奨 されている対
25,第25回,2,True,False,,"a, dostN'di如虚'ffルU.に関する説明で正しし啼且み合わせはどれか。 a. c dl'f力'C1Υ.毒素検出検査を直ちに実施できない場合は、採取した"
25,第25回,3,True,False,,"薬剤耐性菌に関する説明で正しい組み合わせはどれか。
0.感染症法において、カルバペネム耐性腸内細菌科細菌感染症とは、広域β・ラクタム薬、
アミノ配糖体、フルオロ"
25,第25回,4,True,False,,第25回 問4：画像PDFまたは抽出困難な箇所のため、問題文は未抽出です。管理画面から登録してください。
25,第25回,5,True,False,,"b, C 薬剤耐性機構に関する説明で正しい組み合わせはどれか。 ..緑膿菌は、タ胡莫の透過性が低いことや薬剤能動排出ボンプを複数持つことにより、多く の抗菌薬に"
25,第25回,6,True,False,,微生物検査のための検体採取方法に関する説明で正しいのはどれか。
25,第25回,7,True,False,,インフルエンザ迅速検査キット「アキュフルー」の感度は80%、特異度は四%であり、インフ ルエンザ流行期における陰性的中率は認%である。「アキュフルー」に関する説
25,第25回,8,True,False,,"a, 感染症に関する説明で正しい組み合わせはどれか。 a、 MERSコロナウイルス(MERS-COV)によって引き起こされる中東呼吸器症候群(MERS)は、 ラ"
25,第25回,9,True,False,,予防接種に関する説明で正しいのはどれか。
25,第25回,10,True,False,,滅菌に関する説明で正しい組み合わせはどれか。
25,第25回,11,True,False,,"a, インフルエンザに関する説明で正しし味且み合わせはどれか。 a.学校保健安全法において、インフルエンザを発症した場合の出席停止期間は、解熱後2日 を経過する"
25,第25回,12,True,False,,免疫不全患者に対する感染予防策で正しいのはどれか。
25,第25回,13,True,False,,手術部位感染(SSD と喫煙歴の関連を調べるために、 SS1を起こした患者100人と起こさなか つた患者300人を選択し、過去にさかのぼり喫煙歴の有無を確認した
25,第25回,14,True,False,,第25回 問14：画像PDFまたは抽出困難な箇所のため、問題文は未抽出です。管理画面から登録してください。
25,第25回,15,True,False,,血液透析室における感染予防策に関する説明で正しい組み合わせはどれか。 ..透析装置外装は、透析が終了するたびに0.01%(100即m)次亜塩素酸ナトリウム液を用
